run_name,run_id,run_dir,checkpoint,train_step,T,K,N,d,D,noise_std,config_valid,checkpoint_readable,error,condition
T2_K2_N30,6da52fd4-9da5-4c3c-9fa9-2fa34fe88835,T2_K2_N30/6da52fd4-9da5-4c3c-9fa9-2fa34fe88835,T2_K2_N30/6da52fd4-9da5-4c3c-9fa9-2fa34fe88835/state.pt,20000,2,2,30,4,14,0.0,True,True,,T2_K2_N30_noiseless
T2_K2_N50_noiseless,3b0c6665-20bc-4520-9dc5-cb15a03e0b48,T2_K2_N50_noiseless/3b0c6665-20bc-4520-9dc5-cb15a03e0b48,T2_K2_N50_noiseless/3b0c6665-20bc-4520-9dc5-cb15a03e0b48/state.pt,20000,2,2,50,4,14,0.0,True,True,,T2_K2_N50_noiseless
T2_K2_N50_noiseless_500k,cf12fd18-ff9b-4229-9108-0e5733c8bcd5,T2_K2_N50_noiseless_500k/cf12fd18-ff9b-4229-9108-0e5733c8bcd5,T2_K2_N50_noiseless_500k/cf12fd18-ff9b-4229-9108-0e5733c8bcd5/state.pt,417798,2,2,50,4,14,0.0,True,True,,T2_K2_N50_noiseless
T2_K2_N50_noisy,851f38b7-1b3a-44cd-ab53-e96f37490483,T2_K2_N50_noisy/851f38b7-1b3a-44cd-ab53-e96f37490483,T2_K2_N50_noisy/851f38b7-1b3a-44cd-ab53-e96f37490483/state.pt,20000,2,2,50,4,14,0.2,True,True,,T2_K2_N50_noisy
T2_K2_N50_noisy_500k,1ca5aca6-331a-48b7-aeb6-7718491bb39b,T2_K2_N50_noisy_500k/1ca5aca6-331a-48b7-aeb6-7718491bb39b,T2_K2_N50_noisy_500k/1ca5aca6-331a-48b7-aeb6-7718491bb39b/state.pt,500000,2,2,50,4,14,0.2,True,True,,T2_K2_N50_noisy
T2_K3_N50_noiseless,3598797f-3fa0-4540-9fc5-6a3e1aa1aa36,T2_K3_N50_noiseless/3598797f-3fa0-4540-9fc5-6a3e1aa1aa36,T2_K3_N50_noiseless/3598797f-3fa0-4540-9fc5-6a3e1aa1aa36/state.pt,20000,2,3,50,4,14,0.0,True,True,,T2_K3_N50_noiseless
T2_K3_N50_noiseless_500k,2b3a45bf-8604-41df-899a-faeac6cf5d30,T2_K3_N50_noiseless_500k/2b3a45bf-8604-41df-899a-faeac6cf5d30,T2_K3_N50_noiseless_500k/2b3a45bf-8604-41df-899a-faeac6cf5d30/state.pt,462707,2,3,50,4,14,0.0,True,True,,T2_K3_N50_noiseless
T2_K3_N50_noisy,1e393845-5e38-43a1-9197-1eba30ab244c,T2_K3_N50_noisy/1e393845-5e38-43a1-9197-1eba30ab244c,T2_K3_N50_noisy/1e393845-5e38-43a1-9197-1eba30ab244c/state.pt,20000,2,3,50,4,14,0.2,True,True,,T2_K3_N50_noisy
T2_K3_N50_noisy_500k,57376b34-ab5e-4c2a-8511-1e3a5713584d,T2_K3_N50_noisy_500k/57376b34-ab5e-4c2a-8511-1e3a5713584d,T2_K3_N50_noisy_500k/57376b34-ab5e-4c2a-8511-1e3a5713584d/state.pt,500000,2,3,50,4,14,0.2,True,True,,T2_K3_N50_noisy
T3_K2_N50_noiseless,511c927b-c92d-4ceb-9ea5-9d5c0f7b9943,T3_K2_N50_noiseless/511c927b-c92d-4ceb-9ea5-9d5c0f7b9943,T3_K2_N50_noiseless/511c927b-c92d-4ceb-9ea5-9d5c0f7b9943/state.pt,20000,3,2,50,4,19,0.0,True,True,,T3_K2_N50_noiseless
T3_K2_N50_noiseless_500k,d6157328-4931-4096-9b26-f4e8124629b8,T3_K2_N50_noiseless_500k/d6157328-4931-4096-9b26-f4e8124629b8,T3_K2_N50_noiseless_500k/d6157328-4931-4096-9b26-f4e8124629b8/state.pt,500000,3,2,50,4,19,0.0,True,True,,T3_K2_N50_noiseless
T3_K2_N50_noisy,c3697509-789f-4179-bfab-fab016514234,T3_K2_N50_noisy/c3697509-789f-4179-bfab-fab016514234,T3_K2_N50_noisy/c3697509-789f-4179-bfab-fab016514234/state.pt,20000,3,2,50,4,19,0.2,True,True,,T3_K2_N50_noisy
T3_K2_N50_noisy_500k,88f7ba1f-b831-4c58-818e-b589172895c7,T3_K2_N50_noisy_500k/88f7ba1f-b831-4c58-818e-b589172895c7,T3_K2_N50_noisy_500k/88f7ba1f-b831-4c58-818e-b589172895c7/state.pt,500000,3,2,50,4,19,0.2,True,True,,T3_K2_N50_noisy
