T,K,N,d,noise_std,method,position_start,position_end,mean_mse,stderr,ci95_low,ci95_high,num_pools
2,2,50,4,0.0,em_ridge,40,49,5.822924361896234e-07,5.003574164517589e-07,0.0,1.5629929724350709e-06,10
2,2,50,4,0.0,known_pool,40,49,4.846393215128019e-07,4.846393191151267e-07,0.0,1.4345323869784503e-06,10
2,2,50,4,0.0,ridge_current,40,49,0.583664369270458,0.006132675587558838,0.5716443251188427,0.5956844134220732,10
2,2,50,4,0.0,ridge_history,40,49,0.4375410586058939,0.08305440390871402,0.2747544269448144,0.6003276902669734,10
2,2,50,4,0.0,transformer,40,49,0.010658709379219483,0.0006262870802134101,0.0094311867020012,0.011886232056437766,10
2,2,50,4,0.2,em_ridge,40,49,0.07089381591319806,0.0027319204927741996,0.06553925174736062,0.07624838007903549,10
2,2,50,4,0.2,known_pool,40,49,0.06397810424646991,0.002808860554098432,0.058472737560436985,0.06948347093250283,10
2,2,50,4,0.2,ridge_current,40,49,0.6301345110759377,0.009001624206465325,0.6124913276312656,0.6477776945206097,10
2,2,50,4,0.2,ridge_history,40,49,0.585297905975698,0.1046449408614426,0.38019382188727047,0.7904019900641255,10
2,2,50,4,0.2,transformer,40,49,0.0878812900195372,0.004575095867815501,0.07891410211861882,0.09684847792045559,10
2,3,50,4,0.0,em_ridge,40,49,0.00022513071778539553,0.00013996373214932535,0.0,0.0004994596327980732,10
2,3,50,4,0.0,known_pool,40,49,2.2039878769377253e-15,6.597599560012732e-17,2.074674925561476e-15,2.333300828313975e-15,10
2,3,50,4,0.0,ridge_current,40,49,0.565406788947137,0.006638413855763169,0.5523954977898412,0.5784180801044329,10
2,3,50,4,0.0,ridge_history,40,49,0.7918380938563432,0.0666759841508027,0.6611531649207699,0.9225230227919164,10
2,3,50,4,0.0,transformer,40,49,0.04981077340180185,0.0020865368885244194,0.04572116110029399,0.05390038570330971,10
2,3,50,4,0.2,em_ridge,40,49,0.10706429441067829,0.004311172538627297,0.09861439623496879,0.11551419258638779,10
2,3,50,4,0.2,known_pool,40,49,0.09133139439572714,0.004208804739751372,0.08308213710581445,0.09958065168563983,10
