T,K,N,noise_std,status,best_step,remaining_steps,run_name,run_dir
2,2,50,0.0,partial,417798,82202,T2_K2_N50_noiseless_500k,T2_K2_N50_noiseless_500k/cf12fd18-ff9b-4229-9108-0e5733c8bcd5
3,2,50,0.0,complete,500000,0,T3_K2_N50_noiseless_500k,T3_K2_N50_noiseless_500k/d6157328-4931-4096-9b26-f4e8124629b8
4,2,50,0.0,complete,500000,0,T4_K2_N50_noiseless_500k,T4_K2_N50_noiseless_500k/460141ed-c8c5-43fa-a44e-f88de81fb229
5,2,50,0.0,partial,421086,78914,T5_K2_N50_noiseless_500k,T5_K2_N50_noiseless_500k/a853123c-050c-4381-99dc-b62b1f14ca70
2,2,50,0.2,complete,500000,0,T2_K2_N50_noisy_500k,T2_K2_N50_noisy_500k/1ca5aca6-331a-48b7-aeb6-7718491bb39b
3,2,50,0.2,complete,500000,0,T3_K2_N50_noisy_500k,T3_K2_N50_noisy_500k/88f7ba1f-b831-4c58-818e-b589172895c7
4,2,50,0.2,complete,500000,0,T4_K2_N50_noisy_500k,T4_K2_N50_noisy_500k/960fc160-3d2a-48e7-b609-a2a82134760d
5,2,50,0.2,complete,500000,0,T5_K2_N50_noisy_500k,T5_K2_N50_noisy_500k/ad58ca77-6a59-4511-b354-f4a6114800c4
2,3,50,0.0,partial,462707,37293,T2_K3_N50_noiseless_500k,T2_K3_N50_noiseless_500k/2b3a45bf-8604-41df-899a-faeac6cf5d30
3,3,50,0.0,complete,500000,0,T3_K3_N50_noiseless_500k,T3_K3_N50_noiseless_500k/73a62dc5-ea22-48b8-a22f-84884b27130e
4,3,50,0.0,complete,500000,0,T4_K3_N50_noiseless_500k,T4_K3_N50_noiseless_500k/5ee5e69b-8435-41a3-a8ed-15b515ec7588
5,3,50,0.0,partial,381611,118389,T5_K3_N50_noiseless_500k,T5_K3_N50_noiseless_500k/2fd5054f-db81-4d29-9004-d86677d72587
2,3,50,0.2,complete,500000,0,T2_K3_N50_noisy_500k,T2_K3_N50_noisy_500k/57376b34-ab5e-4c2a-8511-1e3a5713584d
3,3,50,0.2,complete,500000,0,T3_K3_N50_noisy_500k,T3_K3_N50_noisy_500k/e8d9e755-28c9-479e-9249-4a944bc1e055
4,3,50,0.2,complete,500000,0,T4_K3_N50_noisy_500k,T4_K3_N50_noisy_500k/45bb16f8-3a70-4a81-bc1e-6a937a9ecba0
5,3,50,0.2,partial,361887,138113,T5_K3_N50_noisy_500k,T5_K3_N50_noisy_500k/62d3ef10-88de-41a5-a11b-2e1c18b1edfc
