model_type,pool_index,pool_cosine,layer,head,source_position,same_attention,different_attention,selectivity,input_attention,output_attention,self_attention,num_prompts
trained,0,-0.5101710557937622,0,0,5,0.06983970715449407,0.06793230450342572,0.0138446309094367,0.009016465907916427,0.12878534495830535,0.31099091842770576,128
trained,0,-0.5101710557937622,0,0,10,0.03816072531044483,0.03759084269404411,0.007523047131637226,0.0070792221929878,0.06867234706878662,0.24248430877923965,128
trained,0,-0.5101710557937622,0,0,20,0.02143044719016958,0.02100219260254869,0.010092574718490356,0.004554669745266438,0.037881985679268836,0.15126691944897175,128
trained,0,-0.5101710557937622,0,0,30,0.01458239445375944,0.014548359250441754,0.001168359859896406,0.003535247097412745,0.025596056878566743,0.12606088537722826,128
trained,0,-0.5101710557937622,0,0,40,0.011158585213945959,0.010997200193859281,0.007284102870148709,0.0028612677939236163,0.01929041985422373,0.11393250338733196,128
trained,0,-0.5101710557937622,0,0,49,0.009336257058556771,0.009390649164117627,-0.002904489663759489,0.0023622589794044593,0.01636579191806365,0.08232549345120788,128
trained,0,-0.5101710557937622,0,1,5,0.06272423194004939,0.06431003146701389,-0.012483242586848759,0.001707591803278774,0.12530189305543898,0.36495256796479225,128
trained,0,-0.5101710557937622,0,1,10,0.03196335136890412,0.030465507321059702,0.023992814849604444,0.0014769079512916504,0.06095195189118385,0.3757114000618458,128
trained,0,-0.5101710557937622,0,1,20,0.016690958764161858,0.015861553724631904,0.025478986907385374,0.0011011780588887632,0.03145910985767841,0.34879425540566444,128
trained,0,-0.5101710557937622,0,1,30,0.011362530524030457,0.011368034881785663,-0.00024215665808097433,0.0009090351251264413,0.021821441128849983,0.3180857039988041,128
trained,0,-0.5101710557937622,0,1,40,0.008676553871445282,0.008930788585117885,-0.01443913039604663,0.0007384448661468923,0.01687535233795643,0.29544809088110924,128
trained,0,-0.5101710557937622,0,1,49,0.007603624356297794,0.007441832302958425,0.010753548861481626,0.0007515241372950223,0.014290528029811626,0.26293946988880634,128
trained,0,-0.5101710557937622,0,2,5,0.07136740904587965,0.07008644664098346,0.009055690978991846,0.006278395839035511,0.1351954698562622,0.2926306538283825,128
trained,0,-0.5101710557937622,0,2,10,0.03663452304899693,0.037630324438214305,-0.013408785218005747,0.004807456908747554,0.06945739090442657,0.2573515195399523,128
trained,0,-0.5101710557937622,0,2,20,0.02045883169115143,0.020092367373806444,0.009037077220550768,0.003579536220058799,0.036975099518895146,0.18890728801488876,128
trained,0,-0.5101710557937622,0,2,30,0.014289630980811811,0.014154912808258235,0.004736169212199009,0.002635219506919384,0.025811499108870824,0.1465984396636486,128
trained,0,-0.5101710557937622,0,2,40,0.011426058656466986,0.011325571605137417,0.004416696745232093,0.0020313146989792584,0.020717764645814894,0.090036831330508,128
trained,0,-0.5101710557937622,0,2,49,0.009322314231325826,0.009305587342051995,0.0008979481240570296,0.0018302297257647222,0.016797320423077564,0.0872500604018569,128
trained,0,-0.5101710557937622,0,3,5,0.06765891075134277,0.066672330432468,0.0073443847475320595,0.004589178389869631,0.12975747436285018,0.3282667361199856,128
trained,0,-0.5101710557937622,0,3,10,0.03607020564377308,0.03569088503718376,0.005285881290049705,0.003968847473151982,0.06779224500060081,0.282389085739851,128
