T,layer,same_attention,different_attention,same_to_different_ratio,selectivity,same_task_observations,different_task_observations,num_prompts,pool_index
2,0,0.020101474598050117,0.019989900290966034,1.005581533947646,0.0027830002685852416,12280,12808,128,0
2,1,0.02028976008296013,0.019669290632009506,1.0315450853088153,0.015527632409900557,12280,12808,128,0
2,2,0.020188843831419945,0.01987042836844921,1.0160245897605469,0.007948608286791932,12280,12808,128,0
2,3,0.025981279090046883,0.013584431260824203,1.9125776111785875,0.3133230193338295,12280,12808,128,0
2,4,0.020952437072992325,0.01910685934126377,1.0965924173494483,0.046071146947847016,12280,12808,128,0
2,5,0.021315516903996468,0.019171573221683502,1.1118293036008184,0.0529537607088516,12280,12808,128,0
2,0,0.02001182548701763,0.02010274864733219,0.9954770781891746,-0.002266586702629434,12716,12372,128,1
2,1,0.020342454314231873,0.019612301141023636,1.03722934743649,0.01827449986587754,12716,12372,128,1
2,2,0.02018437162041664,0.019907774403691292,1.0138939296335436,0.006899037446362385,12716,12372,128,1
2,3,0.02546650916337967,0.013705325312912464,1.8581470035874605,0.30024592944671497,12716,12372,128,1
2,4,0.0208298172801733,0.019238943234086037,1.0826903030343518,0.03970360015306982,12716,12372,128,1
2,5,0.021230751648545265,0.019213536754250526,1.104989254195924,0.049876384873056505,12716,12372,128,1
2,0,0.01990392804145813,0.020169369876384735,0.9868393590601262,-0.006623907906726482,12452,12636,128,2
2,1,0.020192330703139305,0.019734559580683708,1.0231964194885639,0.011465233560678023,12452,12636,128,2
2,2,0.019965574145317078,0.02010072022676468,0.9932765552715046,-0.0033730616610696913,12452,12636,128,2
2,3,0.02493455819785595,0.014239703305065632,1.75105882922334,0.2730071859042628,12452,12636,128,2
2,4,0.020293444395065308,0.01974296197295189,1.0278824637796287,0.013749546276789907,12452,12636,128,2
2,5,0.02104812301695347,0.019413363188505173,1.0842079660579498,0.040402861628640596,12452,12636,128,2
2,0,0.01995750516653061,0.020138602703809738,0.9910074427733325,-0.0045165864443688164,12360,12728,128,3
2,1,0.020092707127332687,0.019822420552372932,1.0136353970619092,0.006771532265376643,12360,12728,128,3
2,2,0.019931580871343613,0.020115926861763,0.9908358192149824,-0.00460318259123506,12360,12728,128,3
2,3,0.023885861039161682,0.015315204858779907,1.559617469006194,0.2186332433586152,12360,12728,128,3
2,4,0.020521726459264755,0.019411267712712288,1.0572069152302317,0.02780805120122275,12360,12728,128,3
2,5,0.01989809237420559,0.020581712946295738,0.9667850497247759,-0.016887941201237044,12360,12728,128,3
2,0,0.01999809592962265,0.02012641169130802,0.9936245087473399,-0.003197939845084513,12588,12500,128,4
2,1,0.01998608186841011,0.019919121637940407,1.0033616055811498,0.0016779824330189826,12588,12500,128,4
2,2,0.02002693898975849,0.02006622962653637,0.9980419521998334,-0.000979983327182305,12588,12500,128,4
2,3,0.02208075299859047,0.017107630148530006,1.2906961868408047,0.1269029863107757,12588,12500,128,4
