model_type,pool_index,layer,position,metric,control,score,num_prompts
trained,0,0,5,beta_r2,actual,-0.04179775342345238,128
trained,0,0,5,beta_r2,shuffled,-0.045357223600149155,128
trained,0,0,5,component_accuracy,actual,0.4765625,128
trained,0,0,5,component_accuracy,shuffled,0.4921875,128
trained,0,0,10,beta_r2,actual,-0.052379295229911804,128
trained,0,0,10,beta_r2,shuffled,-0.047228749841451645,128
trained,0,0,10,component_accuracy,actual,0.4765625,128
trained,0,0,10,component_accuracy,shuffled,0.5,128
trained,0,0,20,beta_r2,actual,-0.04302133247256279,128
trained,0,0,20,beta_r2,shuffled,-0.016276532784104347,128
trained,0,0,20,component_accuracy,actual,0.515625,128
trained,0,0,20,component_accuracy,shuffled,0.4921875,128
trained,0,0,30,beta_r2,actual,-0.13671480119228363,128
trained,0,0,30,beta_r2,shuffled,0.013661662116646767,128
trained,0,0,30,component_accuracy,actual,0.46875,128
trained,0,0,30,component_accuracy,shuffled,0.4765625,128
trained,0,0,40,beta_r2,actual,-0.09882774949073792,128
trained,0,0,40,beta_r2,shuffled,-0.054624367505311966,128
trained,0,0,40,component_accuracy,actual,0.4453125,128
trained,0,0,40,component_accuracy,shuffled,0.5546875,128
trained,0,0,49,beta_r2,actual,-0.1488197147846222,128
trained,0,0,49,beta_r2,shuffled,-0.018482668325304985,128
trained,0,0,49,component_accuracy,actual,0.453125,128
trained,0,0,49,component_accuracy,shuffled,0.5078125,128
trained,0,1,5,beta_r2,actual,0.23886987566947937,128
trained,0,1,5,beta_r2,shuffled,-0.2060714215040207,128
trained,0,1,5,component_accuracy,actual,0.671875,128
trained,0,1,5,component_accuracy,shuffled,0.4921875,128
trained,0,1,10,beta_r2,actual,0.13422521948814392,128
trained,0,1,10,beta_r2,shuffled,-0.319080650806427,128
trained,0,1,10,component_accuracy,actual,0.6015625,128
trained,0,1,10,component_accuracy,shuffled,0.546875,128
trained,0,1,20,beta_r2,actual,0.06949645280838013,128
trained,0,1,20,beta_r2,shuffled,-0.19918587803840637,128
trained,0,1,20,component_accuracy,actual,0.609375,128
trained,0,1,20,component_accuracy,shuffled,0.4375,128
trained,0,1,30,beta_r2,actual,0.21879051625728607,128
trained,0,1,30,beta_r2,shuffled,-0.14738354086875916,128
trained,0,1,30,component_accuracy,actual,0.65625,128
trained,0,1,30,component_accuracy,shuffled,0.453125,128
trained,0,1,40,beta_r2,actual,0.029803933575749397,128
trained,0,1,40,beta_r2,shuffled,-0.1226443499326706,128
trained,0,1,40,component_accuracy,actual,0.59375,128
trained,0,1,40,component_accuracy,shuffled,0.4765625,128
trained,0,1,49,beta_r2,actual,0.10618596524000168,128
trained,0,1,49,beta_r2,shuffled,-0.21091113984584808,128
trained,0,1,49,component_accuracy,actual,0.609375,128
trained,0,1,49,component_accuracy,shuffled,0.5,128
trained,0,2,5,beta_r2,actual,0.2880566716194153,128
trained,0,2,5,beta_r2,shuffled,-0.4165491461753845,128
trained,0,2,5,component_accuracy,actual,0.765625,128
trained,0,2,5,component_accuracy,shuffled,0.515625,128
trained,0,2,10,beta_r2,actual,0.19045080244541168,128
trained,0,2,10,beta_r2,shuffled,-0.3043755292892456,128
trained,0,2,10,component_accuracy,actual,0.71875,128
trained,0,2,10,component_accuracy,shuffled,0.5,128
trained,0,2,20,beta_r2,actual,0.11578678339719772,128
trained,0,2,20,beta_r2,shuffled,-0.1766708940267563,128
trained,0,2,20,component_accuracy,actual,0.578125,128
trained,0,2,20,component_accuracy,shuffled,0.4921875,128
trained,0,2,30,beta_r2,actual,0.28875014185905457,128
trained,0,2,30,beta_r2,shuffled,-0.1937786489725113,128
trained,0,2,30,component_accuracy,actual,0.7109375,128
trained,0,2,30,component_accuracy,shuffled,0.484375,128
trained,0,2,40,beta_r2,actual,0.12899763882160187,128
trained,0,2,40,beta_r2,shuffled,-0.30121350288391113,128
trained,0,2,40,component_accuracy,actual,0.640625,128
trained,0,2,40,component_accuracy,shuffled,0.5390625,128
trained,0,2,49,beta_r2,actual,0.2446548342704773,128
trained,0,2,49,beta_r2,shuffled,-0.09864770621061325,128
trained,0,2,49,component_accuracy,actual,0.6796875,128
trained,0,2,49,component_accuracy,shuffled,0.6015625,128
trained,0,3,5,beta_r2,actual,0.3795648515224457,128
trained,0,3,5,beta_r2,shuffled,-0.35372787714004517,128
trained,0,3,5,component_accuracy,actual,0.8671875,128
trained,0,3,5,component_accuracy,shuffled,0.5703125,128
trained,0,3,10,beta_r2,actual,0.4540296792984009,128
trained,0,3,10,beta_r2,shuffled,-0.24564626812934875,128
trained,0,3,10,component_accuracy,actual,0.828125,128
trained,0,3,10,component_accuracy,shuffled,0.5078125,128
trained,0,3,20,beta_r2,actual,0.34740766882896423,128
trained,0,3,20,beta_r2,shuffled,-0.27651187777519226,128
trained,0,3,20,component_accuracy,actual,0.796875,128
trained,0,3,20,component_accuracy,shuffled,0.4375,128
trained,0,3,30,beta_r2,actual,0.4555363953113556,128
trained,0,3,30,beta_r2,shuffled,-0.2362576574087143,128
trained,0,3,30,component_accuracy,actual,0.8671875,128
trained,0,3,30,component_accuracy,shuffled,0.4765625,128
trained,0,3,40,beta_r2,actual,0.39688733220100403,128
trained,0,3,40,beta_r2,shuffled,-0.16279874742031097,128
trained,0,3,40,component_accuracy,actual,0.8359375,128
trained,0,3,40,component_accuracy,shuffled,0.4453125,128
trained,0,3,49,beta_r2,actual,0.5473137497901917,128
trained,0,3,49,beta_r2,shuffled,-0.25040823221206665,128
trained,0,3,49,component_accuracy,actual,0.8828125,128
trained,0,3,49,component_accuracy,shuffled,0.453125,128
trained,0,4,5,beta_r2,actual,0.4895308315753937,128
trained,0,4,5,beta_r2,shuffled,-0.4689817428588867,128
trained,0,4,5,component_accuracy,actual,0.9140625,128
trained,0,4,5,component_accuracy,shuffled,0.4296875,128
trained,0,4,10,beta_r2,actual,0.4294455349445343,128
trained,0,4,10,beta_r2,shuffled,-0.31063127517700195,128
trained,0,4,10,component_accuracy,actual,0.8203125,128
trained,0,4,10,component_accuracy,shuffled,0.4453125,128
trained,0,4,20,beta_r2,actual,0.45192769169807434,128
trained,0,4,20,beta_r2,shuffled,-0.280531644821167,128
trained,0,4,20,component_accuracy,actual,0.8203125,128
trained,0,4,20,component_accuracy,shuffled,0.4609375,128
trained,0,4,30,beta_r2,actual,0.4683396816253662,128
trained,0,4,30,beta_r2,shuffled,-0.17512787878513336,128
trained,0,4,30,component_accuracy,actual,0.84375,128
trained,0,4,30,component_accuracy,shuffled,0.4609375,128
trained,0,4,40,beta_r2,actual,0.47495612502098083,128
trained,0,4,40,beta_r2,shuffled,-0.29751718044281006,128
trained,0,4,40,component_accuracy,actual,0.859375,128
trained,0,4,40,component_accuracy,shuffled,0.5390625,128
trained,0,4,49,beta_r2,actual,0.5765131711959839,128
trained,0,4,49,beta_r2,shuffled,-0.10748201608657837,128
trained,0,4,49,component_accuracy,actual,0.8984375,128
trained,0,4,49,component_accuracy,shuffled,0.5,128
trained,0,5,5,beta_r2,actual,0.3842102587223053,128
trained,0,5,5,beta_r2,shuffled,-0.340017706155777,128
trained,0,5,5,component_accuracy,actual,0.8515625,128
trained,0,5,5,component_accuracy,shuffled,0.4921875,128
trained,0,5,10,beta_r2,actual,0.4699725806713104,128
trained,0,5,10,beta_r2,shuffled,-0.2519632875919342,128
trained,0,5,10,component_accuracy,actual,0.8125,128
trained,0,5,10,component_accuracy,shuffled,0.546875,128
trained,0,5,20,beta_r2,actual,0.45493146777153015,128
trained,0,5,20,beta_r2,shuffled,-0.2744618058204651,128
trained,0,5,20,component_accuracy,actual,0.8203125,128
trained,0,5,20,component_accuracy,shuffled,0.484375,128
trained,0,5,30,beta_r2,actual,0.4606059789657593,128
