T,pool_index,layer,position,score,num_prompts
2,0,0,5,-0.029656823724508286,128
2,0,0,10,-0.046305716037750244,128
2,0,0,20,-0.04945492744445801,128
2,0,0,30,0.0043189264833927155,128
2,0,0,40,-0.074220210313797,128
2,0,0,49,-0.09592466056346893,128
2,0,1,5,-0.13428114354610443,128
2,0,1,10,-0.16626931726932526,128
2,0,1,20,-0.03336820751428604,128
2,0,1,30,-0.01193671952933073,128
2,0,1,40,-0.10765098035335541,128
2,0,1,49,-0.0648999735713005,128
2,0,2,5,-0.19645850360393524,128
2,0,2,10,-0.12080763280391693,128
2,0,2,20,-0.0786135196685791,128
2,0,2,30,-0.0753972977399826,128
2,0,2,40,-0.15799982845783234,128
2,0,2,49,-0.07403434813022614,128
2,0,3,5,-0.06802520155906677,128
2,0,3,10,0.019042979925870895,128
2,0,3,20,0.17433908581733704,128
2,0,3,30,0.3481789827346802,128
2,0,3,40,0.2541094124317169,128
2,0,3,49,0.24560123682022095,128
2,0,4,5,-0.037947654724121094,128
2,0,4,10,0.12168721109628677,128
2,0,4,20,0.2748269736766815,128
2,0,4,30,0.3953129053115845,128
2,0,4,40,0.33327221870422363,128
2,0,4,49,0.34668582677841187,128
2,0,5,5,0.05419021099805832,128
2,0,5,10,0.09647849202156067,128
2,0,5,20,0.3219689726829529,128
2,0,5,30,0.5539771318435669,128
2,0,5,40,0.3197926878929138,128
2,0,5,49,0.42661914229393005,128
2,0,6,5,0.042597610503435135,128
2,0,6,10,0.008103267289698124,128
2,0,6,20,0.28773173689842224,128
2,0,6,30,0.49507951736450195,128
2,0,6,40,0.3309372365474701,128
2,0,6,49,0.4280889928340912,128
2,1,0,5,-0.09110170602798462,128
2,1,0,10,-0.00929221697151661,128
2,1,0,20,-0.10768618434667587,128
2,1,0,30,-0.0641598254442215,128
2,1,0,40,-0.08587486296892166,128
2,1,0,49,-0.07493270933628082,128
2,1,1,5,0.09318706393241882,128
2,1,1,10,0.31635376811027527,128
2,1,1,20,0.1717689484357834,128
2,1,1,30,0.30844351649284363,128
2,1,1,40,0.17668895423412323,128
2,1,1,49,0.18240968883037567,128
2,1,2,5,0.2736716866493225,128
2,1,2,10,0.44730961322784424,128
2,1,2,20,0.4041571617126465,128
2,1,2,30,0.47151023149490356,128
2,1,2,40,0.35635143518447876,128
2,1,2,49,0.3613016605377197,128
2,1,3,5,0.6553035974502563,128
2,1,3,10,0.657325804233551,128
2,1,3,20,0.7045188546180725,128
2,1,3,30,0.7123012542724609,128
2,1,3,40,0.6725574731826782,128
2,1,3,49,0.7175995111465454,128
2,1,4,5,0.7447275519371033,128
2,1,4,10,0.7005402445793152,128
2,1,4,20,0.7842349410057068,128
2,1,4,30,0.8388888835906982,128
2,1,4,40,0.7689699530601501,128
2,1,4,49,0.811985969543457,128
2,1,5,5,0.7683693766593933,128
2,1,5,10,0.801023006439209,128
2,1,5,20,0.9276150465011597,128
2,1,5,30,0.8941367268562317,128
2,1,5,40,0.8051273822784424,128
2,1,5,49,0.8858823776245117,128
2,1,6,5,0.7059544324874878,128
2,1,6,10,0.7678558230400085,128
2,1,6,20,0.86617511510849,128
2,1,6,30,0.8575726747512817,128
2,1,6,40,0.7927258610725403,128
2,1,6,49,0.8622512817382812,128
2,2,0,5,-0.12182528525590897,128
