pool_index,condition,baseline_mse,intervention_mse,delta_mse,num_prompts
0,support_0,0.05865250900387764,0.08403707295656204,0.025384563952684402,64
0,support_1,0.05865250900387764,0.08233227580785751,0.023679766803979874,64
0,support_2,0.05865250900387764,0.11756673455238342,0.05891422554850578,64
0,all_supports,0.05865250900387764,0.5364620089530945,0.47780949994921684,64
1,support_0,0.05475093051791191,0.1665927916765213,0.11184186115860939,64
1,support_1,0.05475093051791191,0.07394029200077057,0.019189361482858658,64
1,support_2,0.05475093051791191,0.10338299721479416,0.04863206669688225,64
1,all_supports,0.05475093051791191,1.0387815237045288,0.9840305931866169,64
2,support_0,0.048693522810935974,0.08328273147344589,0.03458920866250992,64
2,support_1,0.048693522810935974,0.09156181663274765,0.042868293821811676,64
2,support_2,0.048693522810935974,0.0975123941898346,0.04881887137889862,64
2,all_supports,0.048693522810935974,0.4924720823764801,0.44377855956554413,64
3,support_0,0.046003151684999466,0.05777427926659584,0.011771127581596375,64
3,support_1,0.046003151684999466,0.10362566262483597,0.0576225109398365,64
3,support_2,0.046003151684999466,0.07315386086702347,0.027150709182024002,64
3,all_supports,0.046003151684999466,0.5990116596221924,0.5530085079371929,64
4,support_0,0.06609784066677094,0.06644967198371887,0.000351831316947937,64
4,support_1,0.06609784066677094,0.08520477265119553,0.01910693198442459,64
4,support_2,0.06609784066677094,0.08875938504934311,0.022661544382572174,64
4,all_supports,0.06609784066677094,0.25250470638275146,0.18640686571598053,64
5,support_0,0.0889604315161705,0.10759624093770981,0.018635809421539307,64
5,support_1,0.0889604315161705,0.10449165105819702,0.01553121954202652,64
5,support_2,0.0889604315161705,0.17178316414356232,0.08282273262739182,64
5,all_supports,0.0889604315161705,0.6874769330024719,0.5985165014863014,64
6,support_0,0.05049470067024231,0.07864890247583389,0.028154201805591583,64
6,support_1,0.05049470067024231,0.18478214740753174,0.13428744673728943,64
6,support_2,0.05049470067024231,0.08977232128381729,0.03927762061357498,64
6,all_supports,0.05049470067024231,1.0823827981948853,1.031888097524643,64
7,support_0,0.07040540128946304,0.10544714331626892,0.03504174202680588,64
7,support_1,0.07040540128946304,0.07462488114833832,0.004219479858875275,64
7,support_2,0.07040540128946304,0.10210233181715012,0.03169693052768707,64
7,all_supports,0.07040540128946304,0.3120158910751343,0.24161048978567123,64
8,support_0,0.049218907952308655,0.11811640113592148,0.06889749318361282,64
8,support_1,0.049218907952308655,0.07204421609640121,0.02282530814409256,64
8,support_2,0.049218907952308655,0.0707080289721489,0.02148912101984024,64
8,all_supports,0.049218907952308655,1.1831430196762085,1.1339241117238998,64
9,support_0,0.048608213663101196,0.09090068191289902,0.04229246824979782,64
9,support_1,0.048608213663101196,0.11744678020477295,0.06883856654167175,64
9,support_2,0.048608213663101196,0.08507084846496582,0.036462634801864624,64
9,all_supports,0.048608213663101196,0.7945971488952637,0.7459889352321625,64
