family,value,method,mean_mse,stderr,ci95_low,ci95_high,num_pools
component_count,1.0,assignment_oracle,0.040539080060301734,0.001626316437830056,0.036860096681488014,0.044218063439115454,10
component_count,1.0,em_ridge_K1,0.04216059449971278,0.001587178082519365,0.03857014823170528,0.04575104076772028,10
component_count,1.0,em_ridge_K2,0.04225799797687643,0.0016993364208835987,0.03841383192037073,0.04610216403338213,10
component_count,1.0,em_ridge_K3,0.04285743499275755,0.0018971021157345954,0.0385658918530889,0.047148978132426196,10
component_count,1.0,em_ridge_K4,0.042501223339829274,0.0017023113782064494,0.03865032746230667,0.04635211921735188,10
component_count,1.0,known_pool_uniform,0.040539080060301734,0.001626316437830056,0.036860096681488014,0.044218063439115454,10
component_count,1.0,ridge_current,0.41412664069765864,0.02094642220378936,0.36674254167436116,0.46151073972095613,10
component_count,1.0,ridge_history,0.042221895872930834,0.0015853077989725498,0.038635680480245224,0.045808111265616444,10
component_count,1.0,transformer,0.04622888861149249,0.001706084311251954,0.042369457766456245,0.05008831945652874,10
component_count,2.0,assignment_oracle,0.040539079886849586,0.0016263164315789191,0.036860096522176915,0.044218063251522256,10
component_count,2.0,em_ridge_K1,0.6840078698463607,0.09224328804410697,0.4753390550773261,0.8926766846153954,10
component_count,2.0,em_ridge_K2,0.04922833707527598,0.0021355127774770532,0.04439747154945917,0.05405920260109278,10
component_count,2.0,em_ridge_K3,0.050657892178345,0.0023847006944066134,0.04526332442136323,0.05605245993532677,10
component_count,2.0,em_ridge_K4,0.050543984628999214,0.0023537222381427177,0.045219495008747244,0.055868474249251183,10
component_count,2.0,known_pool_uniform,0.04780774315388701,0.003333663565756796,0.040266472240250865,0.05534901406752315,10
component_count,2.0,ridge_current,0.40057804242014566,0.026572657887507612,0.3404665140453341,0.4606895707949572,10
component_count,2.0,ridge_history,0.6839336029028019,0.09217396523535373,0.4754216072221338,0.8924455985834701,10
component_count,2.0,transformer,0.06530897636763969,0.00788844065511154,0.04746408383637055,0.08315386889890883,10
component_count,3.0,assignment_oracle,0.04053907940921912,0.001626316320152234,0.036860096296611126,0.04421806252182712,10
component_count,3.0,em_ridge_K1,0.8127479209825077,0.08036453375313254,0.6309507153179208,0.9945451266470946,10
component_count,3.0,em_ridge_K2,0.26013119091974757,0.055729425394894234,0.1340624720840594,0.3861999097554357,10
component_count,3.0,em_ridge_K3,0.05907123607214241,0.00436406128388864,0.049199043579903394,0.06894342856438143,10
component_count,3.0,em_ridge_K4,0.05989572930498495,0.003720164859719432,0.051480131720780455,0.06831132688918944,10
component_count,3.0,known_pool_uniform,0.05673303701837199,0.005349863988727204,0.044630803876276576,0.06883527016046741,10
component_count,3.0,ridge_current,0.4045555907384342,0.025465010470214478,0.34694973490250725,0.4621614465743612,10
component_count,3.0,ridge_history,0.8118564405706064,0.08028312880659216,0.630243385688923,0.9934694954522897,10
component_count,3.0,transformer,0.151047053226973,0.01330214557290099,0.1209555093386506,0.18113859711529542,10
component_count,4.0,assignment_oracle,0.040539080598743435,0.0016263163584289975,0.03686009739954738,0.04421806379793949,10
component_count,4.0,em_ridge_K1,0.8878311296903073,0.043342451775580666,0.7897836919529417,0.9858785674276729,10
component_count,4.0,em_ridge_K2,0.5897040356280873,0.06589886822267246,0.44063043885787373,0.7387776323983009,10
component_count,4.0,em_ridge_K3,0.3040053642727537,0.0759463137405267,0.13220286665650152,0.4758078618890059,10
component_count,4.0,em_ridge_K4,0.06462963159067926,0.0030191408762305174,0.05779986043201755,0.07145940274934097,10
component_count,4.0,known_pool_uniform,0.05446755506730252,0.004041970375716548,0.045323982830057175,0.06361112730454786,10
component_count,4.0,ridge_current,0.41236703747198583,0.017174251904929747,0.37351618050954827,0.4512178944344234,10
component_count,4.0,ridge_history,0.8874387888064275,0.043281987381856145,0.7895281310304201,0.9853494465824348,10
component_count,4.0,transformer,0.32065291883230235,0.024048201671123783,0.26625210716955394,0.37505373049505075,10
hierarchy,0.05,assignment_oracle,0.041267597730140264,0.001587748463113635,0.03767586117158591,0.04485933428869462,10
hierarchy,0.05,em_ridge_K3,0.048429830934218696,0.002298238258761713,0.04323085479534401,0.05362880707309338,10
hierarchy,0.05,known_pool_uniform,0.04489037921898696,0.0016772094759244696,0.0410962677895114,0.048684490648462524,10
hierarchy,0.05,ridge_current,0.39069741247223755,0.01239398775610639,0.36266026429412823,0.41873456065034687,10
hierarchy,0.05,ridge_history,0.045968053099425275,0.0017610606813622347,0.04198425706495941,0.04995184913389114,10
hierarchy,0.05,transformer,0.04972407681000971,0.002140293116582245,0.044882397405845494,0.05456575621417393,10
hierarchy,0.2,assignment_oracle,0.041267596401667196,0.0015877485425687084,0.03767585966337298,0.04485933313996141,10
hierarchy,0.2,em_ridge_K3,0.06436753854794194,0.002108542722109939,0.05959768352605492,0.06913739356982897,10
hierarchy,0.2,known_pool_uniform,0.05608489703422017,0.0020258840328108954,0.05150202895839849,0.06066776511004185,10
hierarchy,0.2,ridge_current,0.39024698733724306,0.013932690865909403,0.358729050897873,0.4217649237766131,10
hierarchy,0.2,ridge_history,0.11126035791698663,0.012059324313026532,0.08398027104376712,0.13854044479020614,10
hierarchy,0.2,transformer,0.07250152183316536,0.004430090646465422,0.06247996054541827,0.08252308312091244,10
hierarchy,0.5,assignment_oracle,0.04126759792286894,0.001587748543357732,0.03767586118278983,0.044859334662948044,10
hierarchy,0.5,em_ridge_K3,0.062115957995351724,0.005842902363274588,0.048898394562739554,0.07533352142796389,10
hierarchy,0.5,known_pool_uniform,0.0587547149963913,0.005899523861617272,0.04540906483573487,0.07210036515704774,10
hierarchy,0.5,ridge_current,0.3865417799203867,0.01639998684115057,0.3494424322178816,0.42364112762289174,10
hierarchy,0.5,ridge_history,0.36191058798742953,0.05261276004690525,0.24289225599273961,0.48092891998211945,10
hierarchy,0.5,transformer,0.10597012443723608,0.009459026661732775,0.0845723195212981,0.12736792935317406,10
hierarchy,1.0,assignment_oracle,0.041267597686007074,0.0015877485430161342,0.03767586094670071,0.04485933442531344,10
hierarchy,1.0,em_ridge_K3,0.05263262826547741,0.00209959522494501,0.04788301388839115,0.057382242642563676,10
hierarchy,1.0,known_pool_uniform,0.04992620083906548,0.0025470378670602958,0.04416440088417677,0.05568800079395419,10
hierarchy,1.0,ridge_current,0.38053334705402975,0.016749780571410793,0.3426427109591146,0.4184239831489449,10
hierarchy,1.0,ridge_history,0.5914825464983917,0.03836652252903108,0.5046914427476854,0.678273650249098,10
hierarchy,1.0,transformer,0.1576631757960178,0.013806297385193773,0.1264311612743796,0.188895190317656,10
imbalance,0.5,assignment_oracle,0.03901139661229851,0.0020278554422929027,0.0344240688983963,0.04359872432620072,10
imbalance,0.5,em_ridge_K2,0.05030318620039516,0.004543781691602746,0.04002443790054466,0.060581934500245654,10
imbalance,0.5,known_pool_uniform,0.04715892683964999,0.004553463340428329,0.036858277128561004,0.05745957655073898,10
